# Warning: using immediate writes here, thus this header might be
# inaccurate, should subsequent curve reordering or addition be performed.
# Only initially created curves are listed below, the dynamically added ones
# are not visible in this file.

# This time series data file has been written on 13/3/2019, at 23:13:41, on
# host note-dell.lsd.ufcg.edu.br (node: Sim-Diasca-Cloudish_scheduler-lsd-20668522-computing-node@note-dell.lsd.ufcg.edu.br).

# Probe name: 'Preemption Infra Manager 1'.
# Probe title: 'Requests received'.

# Associated meta-data:
# - version of the Common layer: 0.1
# - version of the WOOPER layer: 1.0
# - version of the Traces layer: 0.3
# - version of the Sim-Diasca engine: 2.2.11-rc1
# - name of the simulation case: Cloudish scheduler
# - tick duration (in virtual seconds): 1.000000


# First column corresponds to the abscissa, expressed in tick offsets.
# Next columns correspond to following curve names (in that order):
# - curve #1: 'TastId'
# - curve #2: 'HostId'

# No zone defined.

201  80 16
202  175 6
202  91 4
203  131 8
203  184 5
203  152 13
204  61 7
204  130 14
204  201 12
204  86 3
205  76 2
205  72 17
205  185 20
206  213 3
206  149 17
206  183 11
206  144 15
206  172 8
207  78 10
207  94 19
207  103 4
207  122 16
207  101 2
207  194 9
208  175 13
208  64 5
208  91 5
208  125 7
208  104 20
208  131 3
208  43 12
209  87 6
209  152 14
209  119 2
209  60 10
209  80 4
209  212 17
209  201 20
210  41 11
210  56 7
210  69 5
210  136 8
210  61 11
210  190 14
210  130 17
211  149 9
211  138 1
211  196 20
211  86 17
211  144 4
211  129 12
211  76 16
211  147 6
212  172 19
212  72 8
212  73 16
212  185 15
212  94 12
212  113 18
212  103 3
212  74 13
212  122 20
212  213 5
212  101 7
212  165 13
213  207 15
213  211 17
213  140 12
213  183 2
213  155 1
213  210 19
213  78 2
213  66 5
214  184 12
214  53 7
214  81 10
214  88 18
214  80 14
214  194 5
214  64 11
214  175 8
214  107 2
214  168 4
215  91 20
215  132 20
215  125 17
215  104 4
215  188 9
215  134 8
215  131 14
215  43 10
215  87 6
215  167 11
215  152 12
215  133 16
216  61 4
216  123 14
216  130 20
216  118 1
216  174 3
216  60 17
216  115 4
216  138 13
216  212 7
216  201 5
216  149 7
216  196 13
216  41 5
216  86 20
246  208 8
246  129 12
246  69 16
246  146 19
246  147 8
246  172 2
246  178 10
246  185 5
246  187 9
246  103 2
246  136 16
246  122 1
246  203 15
246  74 19
246  165 12
246  110 20
276  190 1
276  101 2
276  192 13
276  89 18
276  76 18
276  99 11
276  155 4
276  144 15
276  210 8
276  45 14
276  127 5
276  78 18
276  66 11
276  113 7
276  94 10
276  70 6
306  213 17
306  59 5
306  88 16
306  194 11
306  207 6
