{0,23,23,7200,0.375,0.375,11,0,[]}.
{1,80,80,7200,0.375,0.375,7,0,[]}.
{2,175,175,7200,0.375,0.375,7,0,[]}.
{3,91,91,7200,0.375,0.375,7,0,[]}.
{4,27,27,7200,0.375,0.375,11,0,[]}.
{5,2,2,7200,0.375,0.375,11,0,[]}.
{6,131,131,7200,0.375,0.375,7,0,[]}.
{7,184,184,7200,0.375,0.375,7,0,[]}.
{8,152,152,7200,0.375,0.375,7,0,[]}.
{9,61,61,7200,0.375,0.375,7,0,[]}.
{10,130,130,7200,0.375,0.375,7,0,[]}.
{11,17,17,7200,0.375,0.375,11,0,[]}.
{12,201,201,7200,0.375,0.375,7,0,[]}.
{13,86,86,7200,0.375,0.375,7,0,[]}.
{14,76,76,7200,0.375,0.375,7,0,[]}.
{15,32,32,7200,0.375,0.375,11,0,[]}.
{16,72,72,7200,0.375,0.375,7,0,[]}.
{17,185,185,7200,0.375,0.375,7,0,[]}.
{18,20,20,7200,0.375,0.375,11,0,[]}.
{19,31,31,7200,0.375,0.375,11,0,[]}.
{20,213,213,7200,0.375,0.375,7,0,[]}.
{21,13,13,7200,0.375,0.375,11,0,[]}.
{22,149,149,7200,0.375,0.375,7,0,[]}.
{23,183,183,7200,0.375,0.375,7,0,[]}.
{24,144,144,7200,0.375,0.375,7,0,[]}.
{25,172,172,7200,0.375,0.375,7,0,[]}.
{26,78,78,7200,0.375,0.375,7,0,[]}.
{27,94,94,7200,0.375,0.375,7,0,[]}.
{28,103,103,7200,0.375,0.375,7,0,[]}.
{29,122,122,7200,0.375,0.375,7,0,[]}.
{30,101,101,7200,0.375,0.375,7,0,[]}.
{31,194,194,7200,0.375,0.375,7,0,[]}.
{32,64,64,7200,0.375,0.375,7,0,[]}.
{33,38,38,7200,0.375,0.375,11,0,[]}.
{34,125,125,7200,0.375,0.375,7,0,[]}.
{35,104,104,7200,0.375,0.375,7,0,[]}.
{36,43,43,7200,0.375,0.375,7,0,[]}.
{37,87,87,7200,0.375,0.375,7,0,[]}.
{38,7,7,7200,0.375,0.375,11,0,[]}.
{39,5,5,7200,0.375,0.375,11,0,[]}.
{40,119,119,7200,0.375,0.375,7,0,[]}.
{41,60,60,7200,0.375,0.375,7,0,[]}.
{42,212,212,7200,0.375,0.375,7,0,[]}.
{43,41,41,7200,0.375,0.375,7,0,[]}.
{44,56,56,7200,0.375,0.375,7,0,[]}.
{45,69,69,7200,0.375,0.375,7,0,[]}.
{46,16,16,7200,0.375,0.375,11,0,[]}.
{47,40,40,7200,0.375,0.375,11,0,[]}.
{48,136,136,7200,0.375,0.375,7,0,[]}.
{49,30,30,7200,0.375,0.375,11,0,[]}.
{50,190,190,7200,0.375,0.375,7,0,[]}.
