0,117,117,any,0,7,7200,-1,0.375,0.375,batch,0.9
1,202,202,any,0,1,7200,-1,0.375,0.375,free,0.5
2,84,84,any,0,7,7200,-1,0.375,0.375,batch,0.9
3,190,190,any,0,1,7200,-1,0.375,0.375,free,0.5
4,199,199,any,0,1,7200,-1,0.375,0.375,free,0.5
5,230,230,any,0,1,7200,-1,0.375,0.375,free,0.5
6,201,201,any,0,1,7200,-1,0.375,0.375,free,0.5
7,243,243,any,0,1,7200,-1,0.375,0.375,free,0.5
8,164,164,any,0,1,7200,-1,0.375,0.375,free,0.5
9,231,231,any,0,1,7200,-1,0.375,0.375,free,0.5
10,225,225,any,0,1,7200,-1,0.375,0.375,free,0.5
11,246,246,any,0,1,7200,-1,0.375,0.375,free,0.5
12,48,48,any,0,11,7200,-1,0.375,0.375,prod,1
13,56,56,any,0,11,7200,-1,0.375,0.375,prod,1
14,226,226,any,0,1,7200,-1,0.375,0.375,free,0.5
15,110,110,any,0,7,7200,-1,0.375,0.375,batch,0.9
16,197,197,any,0,1,7200,-1,0.375,0.375,free,0.5
17,234,234,any,0,1,7200,-1,0.375,0.375,free,0.5
18,252,252,any,0,1,7200,-1,0.375,0.375,free,0.5
19,140,140,any,0,7,7200,-1,0.375,0.375,batch,0.9
20,158,158,any,0,7,7200,-1,0.375,0.375,batch,0.9
21,216,216,any,0,1,7200,-1,0.375,0.375,free,0.5
22,238,238,any,0,1,7200,-1,0.375,0.375,free,0.5
23,174,174,any,0,1,7200,-1,0.375,0.375,free,0.5
24,4,4,any,0,11,7200,-1,0.375,0.375,prod,1
25,41,41,any,0,11,7200,-1,0.375,0.375,prod,1
26,200,200,any,0,1,7200,-1,0.375,0.375,free,0.5
27,242,242,any,0,1,7200,-1,0.375,0.375,free,0.5
28,233,233,any,0,1,7200,-1,0.375,0.375,free,0.5
29,155,155,any,0,7,7200,-1,0.375,0.375,batch,0.9
30,100,100,any,0,7,7200,-1,0.375,0.375,batch,0.9
31,179,179,any,0,1,7200,-1,0.375,0.375,free,0.5
32,168,168,any,0,1,7200,-1,0.375,0.375,free,0.5
33,210,210,any,0,1,7200,-1,0.375,0.375,free,0.5
34,78,78,any,0,11,7200,-1,0.375,0.375,prod,1
35,149,149,any,0,7,7200,-1,0.375,0.375,batch,0.9
36,165,165,any,0,1,7200,-1,0.375,0.375,free,0.5
37,2,2,any,0,11,7200,-1,0.375,0.375,prod,1
38,5,5,any,0,11,7200,-1,0.375,0.375,prod,1
39,94,94,any,0,7,7200,-1,0.375,0.375,batch,0.9
40,128,128,any,0,7,7200,-1,0.375,0.375,batch,0.9
41,71,71,any,0,11,7200,-1,0.375,0.375,prod,1
42,69,69,any,0,11,7200,-1,0.375,0.375,prod,1
43,215,215,any,0,1,7200,-1,0.375,0.375,free,0.5
44,22,22,any,0,11,7200,-1,0.375,0.375,prod,1
45,192,192,any,0,1,7200,-1,0.375,0.375,free,0.5
46,19,19,any,0,11,7200,-1,0.375,0.375,prod,1
47,87,87,any,0,7,7200,-1,0.375,0.375,batch,0.9
48,153,153,any,0,7,7200,-1,0.375,0.375,batch,0.9
49,6,6,any,0,11,7200,-1,0.375,0.375,prod,1
50,13,13,any,0,11,7200,-1,0.375,0.375,prod,1
51,224,224,any,0,1,7200,-1,0.375,0.375,free,0.5
52,214,214,any,0,1,7200,-1,0.375,0.375,free,0.5
53,228,228,any,0,1,7200,-1,0.375,0.375,free,0.5
54,3,3,any,0,11,7200,-1,0.375,0.375,prod,1
